,name
0,Adaro
1,Santos
2,AGL
3,Maersk Group
4,Continental Resources
5,Grupo Mexico
6,Tatneft
7,Kuzbass Fuel 
8,BP
9,RWE 
10,Exxaro
11,Apache 
12,Penn West Petroleum 
13,Zhengzhou Coal
14,Pioneer Natural Resources 
15,Gazprom
16,Encana 
17,Tata Steel
18,Novatek
19,Severstal
20,BHP Billiton
21,Consol Energy
22,Rusal
23,Marubeni
24,TAQA
25,Anglo American
26,EQT 
27,Occidental
28,Raspadskaya
29,Teck
30,Imperial Oil 
31,Shanxi Lanhua Sci-Tech
32,Genel Energy 
33,Mitsubishi
34,Statoil 
35,Consol Energy 
36,Royal Dutch Shell
37,Woodside Petroleum
38,Coal India
39,SK Innovation 
40,Idemitsu Kosan
41,QEP Resources 
42,SM Energy 
43,China Resources
44,Itochu
45,Alpha Natural Resources
46,Pacific Rubiales Energy 
47,Oil Search
48,DEH
49,Jingyuan
50,Anadarko Petroleum 
51,Huolinhe Opencut
52,Glencore Xstrata
53,Wesfarmers
54,Ecopetrol
55,GDF SUEZ
56,Oil India
57,Golden Energy
58,Antero Resources
59,ExxonMobil
60,Wescoal
61,Tata Power
62,Yitai Coal
63,Arch Coal
64,Shanxi Meijin Energy
65,Crescent Point Energy 
66,Newfield Exploration 
67,PTT
68,Cabot Oil & Gas 
69,Canadian Oil Sands 
70,Datang Intl
71,Alcoa
72,Tullow Oil
73,WHSP
74,ENI
75,Energy Ventures
76,Lukoil
77,ONGC
78,Pingdingshan
79,Allete
80,Westmoreland
81,Enerplus 
82,Southwestern Energy 
83,Concho Resources 
84,BG Group
85,Dragon Oil
86,Cockatoo
87,Polish Oil & Gas
88,WPX Energy
89,Cimarex Energy 
90,RWE
91,Marathon Oil 
92,CoAL
93,Peabody Energy
94,SAIL
95,MEG Energy 
96,Sasol
97,Chevron
98,MOL
99,Denbury Resources 
100,NTPC
101,ConocoPhillips
102,Mitsui & Co 
103,Resource Generation
104,PTT 
105,EVRAZ
106,Freeport-McMoRan
107,Nacco
108,Polyus Gold
109,Polo Resources
110,JSPL
111,Vale
112,Chesapeake Energy 
113,Hess 
114,Adani
115,Sasol 
116,Tourmaline Oil 
117,Shougang Fushan
118,Breitburn Energy Partners
119,Devon Energy 
120,JX Holdings 
121,Suncor Energy 
122,Rio Tinto
123,Cloud Peak
124,Stanmore
125,Datong Coal
126,Petrobras
127,Fortune
128,Coalspur
129,Shanxi Coal
130,Inpex 
131,Peyto E&D  
132,Yanzhou Coal
133,Banpu
134,Xcite Energy 
135,Aspire
136,Canadian Natural Resources 
137,MMK OJSC
138,Bandanna
139,China Coal
140,YPF 
141,Asia Resource
142,Shanxi Coking
143,Bashneft
144,Arcelor Mittal
145,OMV
146,Churchill Mining
147,KazMunaiGas EP
148,Linn Energy
149,PDC Energy
150,MMC
151,Murphy Oil 
152,James River
153,EOG Resources
154,Indika
155,Energen 
156,SandRidge Energy
157,Neyveli Lignite
158,Yangquan Coal
159,Jizhong Energy
160,Sinopec
161,Husky Energy 
162,CESC
163,Bayan
164,PetroChina
165,Kazakhmys
166,Cenovus Energy 
167,NLMK
168,Ultra Petroleum 
169,BASF
170,Mechel
171,Rosetta Resources
172,Black Hills
173,Mitsui & Co
174,New World Resources
175,CLP Holdings
176,Energy XXI
177,Oasis Petroleum 
178,China Shenhua
179,FirstEnergy
180,National Fuel Gas
181,Noble Energy
182,Cliffs Natural Resources
183,CNOOC 
184,Cardero
185,Range Resources 
186,ARLP
187,Prophecy Coal
188,Repsol
189,Whitehaven Coal
190,Coal Energy
191,Energi Mega Persada 
192,Walter Energy
193,ARC Resources 
194,Rosneft
195,Total
196,ARM
197,Capital Power
198,Whiting Petroleum 
